#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::futuro: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"ser, tú, futuro",ser,być,to be,tu,futuro_simple,serás,,false,ser,conjugation::basic-verb
"ser, él, futuro",ser,być,to be,el,futuro_simple,será,,false,ser,conjugation::basic-verb
"soler, yo, futuro",soler,mieć w zwyczaju,to use to,yo,futuro_simple,soleré,,false,,
"soler, tú, futuro",soler,mieć w zwyczaju,to use to,tu,futuro_simple,solerás,,false,,
"soler, él, futuro",soler,mieć w zwyczaju,to use to,el,futuro_simple,solerá,,false,,
"suponer, yo, futuro",suponer,przypuszczać,to suppose,yo,futuro_simple,supon<em>dr</em>é,,true,,
"suponer, tú, futuro",suponer,przypuszczać,to suppose,tu,futuro_simple,supon<em>dr</em>ás,,true,,
"suponer, él, futuro",suponer,przypuszczać,to suppose,el,futuro_simple,supon<em>dr</em>á,,true,,
"sustituir, yo, futuro",sustituir,zastępować,to substitute,yo,futuro_simple,sustituiré,,false,,
"sustituir, tú, futuro",sustituir,zastępować,to substitute,tu,futuro_simple,sustituirás,,false,,
"sustituir, él, futuro",sustituir,zastępować,to substitute,el,futuro_simple,sustituirá,,false,,
"tener, yo, futuro",tener,mieć,to have,yo,futuro_simple,ten<em>dr</em>é,,true,,conjugation::basic-verb
"tener, tú, futuro",tener,mieć,to have,tu,futuro_simple,ten<em>dr</em>ás,,true,,conjugation::basic-verb
"tener, él, futuro",tener,mieć,to have,el,futuro_simple,ten<em>dr</em>á,,true,,conjugation::basic-verb
"tocar, yo, futuro",tocar,dotykać,to touch,yo,futuro_simple,tocaré,,false,,
"tocar, tú, futuro",tocar,dotykać,to touch,tu,futuro_simple,tocarás,,false,,
"tocar, él, futuro",tocar,dotykać,to touch,el,futuro_simple,tocará,,false,,
"trabajar, yo, futuro",trabajar,pracować,to work,yo,futuro_simple,trabajaré,,false,,conjugation::basic-verb
"trabajar, tú, futuro",trabajar,pracować,to work,tu,futuro_simple,trabajarás,,false,,conjugation::basic-verb
"trabajar, él, futuro",trabajar,pracować,to work,el,futuro_simple,trabajará,,false,,conjugation::basic-verb
"traducir, yo, futuro",traducir,tłumaczyć,to translate,yo,futuro_simple,traduciré,,false,,
"traducir, tú, futuro",traducir,tłumaczyć,to translate,tu,futuro_simple,traducirás,,false,,
"traducir, él, futuro",traducir,tłumaczyć,to translate,el,futuro_simple,traducirá,,false,,
"traer, yo, futuro",traer,przynieść,to bring,yo,futuro_simple,traeré,,false,,
"traer, tú, futuro",traer,przynieść,to bring,tu,futuro_simple,traerás,,false,,
"traer, él, futuro",traer,przynieść,to bring,el,futuro_simple,traerá,,false,,
"tratar, yo, futuro",tratar,próbować,to treat,yo,futuro_simple,trataré,,false,,
"tratar, tú, futuro",tratar,próbować,to treat,tu,futuro_simple,tratarás,,false,,
"tratar, él, futuro",tratar,próbować,to treat,el,futuro_simple,tratará,,false,,
"utilizar, yo, futuro",utilizar,używać,to use,yo,futuro_simple,utilizaré,,false,,
"utilizar, tú, futuro",utilizar,używać,to use,tu,futuro_simple,utilizarás,,false,,
"utilizar, él, futuro",utilizar,używać,to use,el,futuro_simple,utilizará,,false,,
"vencer, yo, futuro",vencer,pokonać,to defeat,yo,futuro_simple,venceré,,false,,
"vencer, tú, futuro",vencer,pokonać,to defeat,tu,futuro_simple,vencerás,,false,,
"vencer, él, futuro",vencer,pokonać,to defeat,el,futuro_simple,vencerá,,false,,
"vender, yo, futuro",vender,sprzedawać,to sell,yo,futuro_simple,venderé,,false,,conjugation::basic-verb
"vender, tú, futuro",vender,sprzedawać,to sell,tu,futuro_simple,venderás,,false,,conjugation::basic-verb
"vender, él, futuro",vender,sprzedawać,to sell,el,futuro_simple,venderá,,false,,conjugation::basic-verb
"venir, yo, futuro",venir,przychodzić,to come,yo,futuro_simple,ven<em>dr</em>é,,true,,conjugation::basic-verb
"venir, tú, futuro",venir,przychodzić,to come,tu,futuro_simple,ven<em>dr</em>ás,,true,,conjugation::basic-verb
"venir, él, futuro",venir,przychodzić,to come,el,futuro_simple,ven<em>dr</em>á,,true,,conjugation::basic-verb
"ver, yo, futuro",ver,oglądać,to see,yo,futuro_simple,veré,,false,,conjugation::basic-verb
"ver, tú, futuro",ver,oglądać,to see,tu,futuro_simple,verás,,false,,conjugation::basic-verb
"ver, él, futuro",ver,oglądać,to see,el,futuro_simple,verá,,false,,conjugation::basic-verb
"vestir, yo, futuro",vestir,nosić,to wear,yo,futuro_simple,vestiré,,false,vestir,
"vestir, tú, futuro",vestir,nosić,to wear,tu,futuro_simple,vestirás,,false,vestir,
"vestir, él, futuro",vestir,nosić,to wear,el,futuro_simple,vestirá,,false,vestir,
"vestirse, yo, futuro",vestirse,ubierać się,to get dressed,yo,futuro_simple,me vestiré,,false,,
"vestirse, tú, futuro",vestirse,ubierać się,to get dressed,tu,futuro_simple,te vestirás,,false,,
"vestirse, él, futuro",vestirse,ubierać się,to get dressed,el,futuro_simple,se vestirá,,false,,
"vivir, yo, futuro",vivir,żyć,to live,yo,futuro_simple,viviré,,false,,conjugation::basic-verb
"vivir, tú, futuro",vivir,żyć,to live,tu,futuro_simple,vivirás,,false,,conjugation::basic-verb
"vivir, él, futuro",vivir,żyć,to live,el,futuro_simple,vivirá,,false,,conjugation::basic-verb
"volar, yo, futuro",volar,latać,to fly,yo,futuro_simple,volaré,,false,,
"volar, tú, futuro",volar,latać,to fly,tu,futuro_simple,volarás,,false,,
"volar, él, futuro",volar,latać,to fly,el,futuro_simple,volará,,false,,
"volver, yo, futuro",volver,wracać,to return,yo,futuro_simple,volveré,,false,,conjugation::basic-verb
"volver, tú, futuro",volver,wracać,to return,tu,futuro_simple,volverás,,false,,conjugation::basic-verb
"volver, él, futuro",volver,wracać,to return,el,futuro_simple,volverá,,false,,conjugation::basic-verb
